8844,19901
18498,51448
49751,51322
37124,63389
25223,61399
17754,35158
29695,68484
45512,67268
32237,62731
14114,43417
34046,71531
15327,39722
34336,49144
22829,48928
38147,69035
28633,57576
23641,55831
34697,71761
12676,29894
33379,42394
1457,22851
45687,84342
9152,36430
9947,43435
19151,19772
31087,40234
42667,61947
34295,61700
14273,29436
31256,70962
39314,44645
2685,35066
25700,58410
12009,33826
20538,54949
7313,26137
41682,78935
16358,20100
48019,84896
742,27119
3110,24593
13466,20823
10045,13920
16446,29802
11576,30247
27724,35282
24825,48391
35297,70643
7732,42514
38719,53840
9202,11909
2119,40978
4010,29081
5696,21163
43279,47578
47875,72380
29433,30220
11255,35634
36942,53231
44929,59784
23477,55631
35321,54419
46112,83515
23634,40443
38111,53286
36389,49937
45527,52531
35117,74797
1686,32112
14721,22674
7606,32275
13377,41894
31457,69263
8961,21076
3588,16659
18600,21619
8153,17169
30201,53674
25411,51078
25390,27250
24170,42697
39531,42258
34112,57601
9922,15729
14589,52151
41104,65648
37181,70968
1814,23926
43385,82788
20786,58813
1824,31885
9612,33083
31750,38584
34851,46863
28007,55358
41318,75692
37433,45249
17850,32168
39224,70512
44955,77851
31178,32015
15309,26442
15154,24502
2294,18776
17435,33728
41123,69970
15074,34161
18715,25776
9023,32990
44595,58665
27106,49284
46260,51352
16737,20677
23999,58632
29244,64953
46756,49738
39817,73443
9543,21882
18514,28442
41345,49059
14989,21095
37023,52156
34372,41349
25029,50314
45968,53439
43144,69217
8887,32259
46821,51116
35807,59795
45517,84717
38968,51391
29051,48760
5240,34736
44125,48242
49047,65560
24813,62218
38987,74089
38745,43249
1858,36406
5302,15125
9627,21992
33929,36169
25785,38598
18063,43256
23269,39290
29560,52723
34288,46696
16168,21635
38911,66138
49416,84582
40561,50057
10677,16930
48315,75717
36647,53606
31116,70693
24974,34362
22274,55588
15671,42739
944,36932
14317,50172
44087,54040
13700,15973
29848,45899
1129,34116
36701,37623
4152,36497
36347,59425
42598,78079
48103,56135
10288,32970
47719,68366
42526,70364
22229,49115
18900,50376
18358,46796
40377,64442
16222,52908
3209,19600
1891,7313
27013,33990
10448,47463
36829,59781
23795,28661
48593,76911
21697,46897
37947,47401
1279,31467
638,32816
16995,38378
10293,12307
19676,35713
3758,42941
5163,20362
45352,80011
4128,5998
10361,17838
27626,44406
43985,61975
12330,45441
29754,57112
8330,32588
24006,54215
3745,9934
9720,31202
24621,62179
29600,53153
37127,53389
28588,29344
4383,13589
46353,57900
33683,66212
1211,14560
47488,47755
26618,66500
10631,46943
42074,78355
19551,28267
13042,51244
40108,70955
32420,63293
41451,63975
45373,58364
21675,27862
423,2808
23386,39020
29204,55263
47181,74411
14235,31241
43899,47154
14537,37952
10519,47397
5338,16208
2780,3530
27250,58410
19116,48012
10986,26619
44104,46373
45705,67741
1652,31061
30452,50600
4439,28144
12543,13208
11191,25312
10803,34047
14396,44737
41192,74912
38442,73486
47320,68681
18633,43691
7847,44239
24031,53340
21132,56239
20780,41173
24978,45260
30589,63613
15962,45374
44702,48367
12576,17779
42749,73903
10913,25581
4861,12020
28586,57229
16851,41778
17768,26715
32609,64477
47113,73169
6497,12687
31137,66763
11754,43447
20759,35640
22119,49294
26197,38634
25944,31110
34683,55155
29134,30741
2677,6715
14598,40484
49355,76775
15760,48218
18884,57923
40874,49215
31981,61294
46029,49219
33828,63990
30962,34432
2100,31718
48497,87824
48890,66526
41337,60732
20543,49339
34246,64314
28740,31586
27049,46908
9644,43839
33160,40733
23864,33557
20880,34322
49167,84781
47054,81523
24843,41861
46780,84950
24124,57618
36574,46478
37604,55267
48249,73187
4869,41275
25761,64049
16268,31420
25311,25975
19203,51908
22562,48817
9914,38803
26245,37450
23607,47860
44110,46506
13914,18571
42376,52632
49438,57350
40055,42158
1791,10099
24031,33331
17024,51033
12589,17045
31585,46872
37155,67362
49159,82223
23099,27395
44491,72794
23496,52588
15169,19198
27204,40003
3719,18355
35837,44121
45841,73425
12559,39159
15559,47812
49330,55367
25457,45811
20351,36715
46084,71340
31210,68539
254,16910
22496,32966
16842,21939
43972,68512
39929,59575
44566,48452
30129,43524
11269,31698
27470,46975
27656,31034
44286,70326
343,7333
27455,63968
2576,33444
1259,5692
23065,27174
38332,63969
32914,38738
37744,53801
5321,21640
7448,34750
17789,45460
26223,45905
14817,25794
20644,27971
27135,46822
7058,33866
47766,58069
41497,53509
29637,44062
9971,44539
38993,69736
40233,70494
24903,59774
47328,68212
22186,52777
35182,72190
41976,62705
9102,38404
39204,40317
18755,20212
8180,37892
43076,65108
49029,58586
28222,34918
2258,32062
30681,68309
21713,26667
37811,64504
45693,79976
31944,62758
49756,61538
21235,23136
41607,45217
17894,30037
