257,6739,Wyoming-Weston,43949,0,0,43.83961191,-104.5674881
531,11006,Wyoming-Weston,43929,0,0,43.83961191,-104.5674881
4385,47496,Wyoming-Weston,43917,0,0,43.83961191,-104.5674881
6812,58827,Wyoming-Weston,43872,0,0,43.83961191,-104.5674881
8595,86177,Wyoming-Weston,43940,0,0,43.83961191,-104.5674881
1758,26345,Wyoming-Washakie,43885,0,0,43.90451606,-107.680187
2098,26715,Wyoming-Washakie,43884,0,0,43.90451606,-107.680187
2824,39466,Wyoming-Washakie,43897,0,0,43.90451606,-107.680187
7112,59178,Wyoming-Washakie,43865,0,0,43.90451606,-107.680187
7576,61308,Wyoming-Washakie,43905,0,0,43.90451606,-107.680187
6811,58826,Wyoming-Uinta,43872,0,0,41.2878183,-110.5475782
6004,56585,Wyoming-Teton,43857,0,0,43.93522482,-110.5890801
2097,26714,Wyoming-Sweetwater,43884,0,0,41.65943896,-108.8827882
2185,26813,Wyoming-Sweetwater,43888,0,0,41.65943896,-108.8827882
5144,51627,Wyoming-Sweetwater,43890,0,0,41.65943896,-108.8827882
7496,61200,Wyoming-Sweetwater,43904,0,0,41.65943896,-108.8827882
7637,61383,Wyoming-Sweetwater,43903,0,0,41.65943896,-108.8827882
9620,97167,Wyoming-Sweetwater,43899,0,0,41.65943896,-108.8827882
5407,54549,Wyoming-Sublette,43913,0,0,42.76558279,-109.9130922
2918,39571,Wyoming-Sheridan,43898,0,0,44.79048913,-106.8862389
4624,51039,Wyoming-Sheridan,43894,0,0,44.79048913,-106.8862389
58,2113,Wyoming-Platte,43967,0,0,42.13299116,-104.966331
1757,26344,Wyoming-Platte,43885,0,0,42.13299116,-104.966331
2723,39346,Wyoming-Platte,43902,0,0,42.13299116,-104.966331
3345,40045,Wyoming-Platte,43901,0,0,42.13299116,-104.966331
4623,51038,Wyoming-Platte,43894,0,0,42.13299116,-104.966331
8169,73349,Wyoming-Platte,43966,0,0,42.13299116,-104.966331
4622,51037,Wyoming-Park,43894,0,0,44.52157546,-109.5852825
6492,58463,Wyoming-Park,43867,0,0,44.52157546,-109.5852825
9249,95406,Wyoming-Park,43904,0,0,44.52157546,-109.5852825
16,1070,Wyoming-Out of WY,44401,0,0,0,0
42,1957,Wyoming-Out of WY,43971,0,0,0,0
701,12180,Wyoming-Out of WY,43990,0,0,0,0
792,14420,Wyoming-Out of WY,44334,0,0,0,0
793,14556,Wyoming-Out of WY,44320,0,0,0,0
827,15852,Wyoming-Out of WY,44316,0,0,0,0
1047,17550,Wyoming-Out of WY,44026,0,0,0,0
1078,18572,Wyoming-Out of WY,44277,0,0,0,0
1417,24381,Wyoming-Out of WY,44286,0,0,0,0
1442,25610,Wyoming-Out of WY,44300,0,0,0,0
2325,27505,Wyoming-Out of WY,44007,0,0,0,0
2347,28180,Wyoming-Out of WY,44233,0,0,0,0
2365,28980,Wyoming-Out of WY,44258,0,0,0,0
2402,30876,Wyoming-Out of WY,44250,0,0,0,0
