192,388
63,231
55,173
78,95
112,135
285,644
87,278
2,270
366,461
379,522
464,688
311,459
343,661
76,232
99,365
441,672
379,752
84,163
82,302
161,334
429,527
285,497
450,766
298,337
115,173
282,621
29,215
413,537
187,374
104,173
425,639
119,389
478,647
10,100
108,491
475,509
285,459
389,655
151,419
298,328
185,466
223,314
225,618
499,533
377,483
295,675
268,507
352,574
183,381
105,222
461,646
317,444
272,290
42,240
220,509
474,549
481,704
476,546
139,481
76,254
216,501
461,684
369,455
52,76
329,645
262,391
112,503
128,211
204,406
447,806
324,521
315,447
204,368
289,609
78,184
16,110
226,556
138,172
30,311
155,402
11,135
2,370
123,169
201,417
350,445
364,443
14,398
228,477
486,747
124,149
129,159
16,271
467,725
469,820
121,318
150,404
281,548
32,202
23,347
359,563
